__time,/joint_states/fanuc_m20ia_35m_joint1/position,/joint_states/fanuc_m20ia_35m_joint1/velocity,/joint_states/fanuc_m20ia_35m_joint2/position,/joint_states/fanuc_m20ia_35m_joint2/velocity,/joint_states/fanuc_m20ia_35m_joint3/position,/joint_states/fanuc_m20ia_35m_joint3/velocity,/joint_states/fanuc_m20ia_35m_joint4/position,/joint_states/fanuc_m20ia_35m_joint4/velocity,/joint_states/fanuc_m20ia_35m_joint5/position,/joint_states/fanuc_m20ia_35m_joint5/velocity,/joint_states/fanuc_m20ia_35m_joint6/position,/joint_states/fanuc_m20ia_35m_joint6/velocity,/joint_states/header/stamp,/joint_states/joint_world_to_slider/position,/joint_states/joint_world_to_slider/velocity
1707309211.221531,0.000069411,0.084096820,0.000181323,-0.046736697,-0.000033316,0.413029181,0.004751500,3.512732477,-0.003062308,-0.810562008,-0.009936584,-5.050122249,6.386000000,0.000055948,-0.048623727
1707309211.222583,0.000138690,0.069279194,0.000154757,-0.026566076,0.000292291,0.325606343,0.006379217,1.627716964,-0.003554881,-0.492573056,-0.012881087,-2.944503619,6.387000000,0.000008487,-0.047460518
1707309211.224440,0.000193521,0.054830616,0.000180825,0.026068762,0.000431323,0.139032461,0.005981070,-0.398147692,-0.003483992,0.070888998,-0.013588202,-0.707114960,6.388000000,-0.000037577,-0.046064279
1707309211.228616,0.000233054,0.039533002,0.000272845,0.092019293,0.000342424,-0.088899401,0.003508879,-2.472190425,-0.002746674,0.737317995,-0.012011700,1.576502226,6.389000000,-0.000081894,-0.044316738
1707309211.229487,0.000254489,0.021435671,0.000420723,0.147878873,0.000054726,-0.287697799,-0.000980169,-4.489047764,-0.001413624,1.333049961,-0.008198467,3.813233006,6.390000000,-0.000123922,-0.042028187
1707309211.231801,0.000251595,-0.002894366,0.000589835,0.169111710,-0.000314593,-0.369319305,-0.005035097,-4.054928054,0.000224134,1.637758583,-0.004562355,3.636111902,6.391000000,-0.000162840,-0.038918180
1707309211.233255,0.000224839,-0.026755921,0.000732817,0.142981844,-0.000619384,-0.304791137,-0.008427300,-3.392203755,0.001665958,1.441823946,-0.001356241,3.206114129,6.392000000,-0.000198438,-0.035597295
1707309211.233844,0.000174241,-0.050598092,0.000814645,0.081828202,-0.000753342,-0.133957663,-0.010993994,-2.566693945,0.002601200,0.935241386,0.001260659,2.616899919,6.393000000,-0.000230576,-0.032138676
1707309211.234988,0.000124717,-0.049523573,0.000818558,0.003913126,-0.000662588,0.090754251,-0.011457114,-0.463119544,0.002852870,0.251670032,0.001648501,0.387842525,6.394000000,-0.000261241,-0.030665048
1707309211.236238,0.000079209,-0.045508780,0.000753551,-0.065007317,-0.000374876,0.287711958,-0.009857784,1.599329418,0.002488431,-0.364439196,-0.000170319,-1.818820368,6.395000000,-0.000290746,-0.029504254
1707309211.237412,0.000027492,-0.051716524,0.000650404,-0.103146742,0.000014012,0.388887788,-0.007042877,2.814907062,0.001767226,-0.721204248,-0.003170824,-3.000504470,6.396000000,-0.000318410,-0.027664510
1707309211.238136,-0.000036705,-0.064196856,0.000550111,-0.100293680,0.000378156,0.364143705,-0.003753929,3.288948108,0.001016470,-0.750756546,-0.006488857,-3.318033887,6.397000000,-0.000343932,-0.025522216
1707309211.239574,-0.000108398,-0.071693394,0.000490074,-0.060036655,0.000604460,0.226304829,-0.000170237,3.583692742,0.000511516,-0.504954147,-0.009986346,-3.497488374,6.398000000,-0.000367949,-0.024016443
1707309211.241784,-0.000182809,-0.074411029,0.000494300,0.004225893,0.000617578,0.013117152,0.003156051,3.326287744,0.000435965,-0.075550295,-0.013145067,-3.158720996,6.399000000,-0.000391065,-0.023116386
1707309211.242263,-0.000255322,-0.072512682,0.000567319,0.073019047,0.000392289,-0.225288767,0.004362809,1.206757713,0.000852468,0.416502345,-0.014132744,-0.987676714,6.400000000,-0.000413808,-0.022743047
1707309211.244024,-0.000324911,-0.069589469,0.000685813,0.118494311,-0.000001167,-0.393456287,0.003580046,-0.782763358,0.001586914,0.734445835,-0.013079125,1.053618577,6.401000000,-0.000436321,-0.022513221
1707309211.244667,-0.000392503,-0.067592041,0.000809239,0.123425607,-0.000440484,-0.439316156,0.001009937,-2.570108348,0.002337211,0.750297790,-0.010172915,2.906210271,6.402000000,-0.000458519,-0.022197848
1707309211.245336,-0.000459496,-0.066992990,0.000892500,0.083261095,-0.000789346,-0.348862585,-0.003124257,-4.134193735,0.002766772,0.429560462,-0.005619353,4.553562090,6.403000000,-0.000480259,-0.021739851
1707309211.246600,-0.000527853,-0.068356899,0.000895943,0.003442614,-0.000913577,-0.124230601,-0.006347419,-3.223162329,0.002542573,-0.224198626,-0.001857103,3.762249161,6.404000000,-0.000501402,-0.021143076
1707309211.248029,-0.000595680,-0.067826920,0.000807379,-0.088563436,-0.000775783,0.137793631,-0.008605781,-2.258362211,0.001571863,-0.970709646,0.001059729,2.916832009,6.405000000,-0.000522197,-0.020795266
1707309211.251566,-0.000637394,-0.041713820,0.000639291,-0.168087753,-0.000409143,0.366639731,-0.008849521,-0.243740033,-0.000106472,-1.678334986,0.001720907,0.661177920,6.406000000,-0.000544870,-0.022672290
1707309211.251627,-0.000651878,-0.014483921,0.000441494,-0.197797452,0.000031109,0.440252826,-0.007227786,1.621735062,-0.001924339,-1.817867890,0.000273346,-1.447560256,6.407000000,-0.000569667,-0.024797098
1707309211.252721,-0.000645508,0.006369577,0.000261204,-0.180290351,0.000402269,0.371159601,-0.004455212,2.772573565,-0.003515964,-1.591624319,-0.002459438,-2.732784534,6.408000000,-0.000596194,-0.026527129
1707309211.253942,-0.000630530,0.014978761,0.000139170,-0.122033405,0.000580478,0.178209399,-0.001476783,2.978429321,-0.004550995,-1.035031782,-0.005330551,-2.871112229,6.409000000,-0.000623512,-0.027318426
1707309211.255112,-0.000605997,0.024532107,0.000094654,-0.044516408,0.000509297,-0.071181544,0.001618740,3.095523232,-0.004891182,-0.340186143,-0.008259013,-2.928462329,6.410000000,-0.000651634,-0.028121115
1707309211.256506,-0.000570638,0.035359407,0.000125249,0.030594822,0.000183280,-0.326016827,0.002566877,0.948136705,-0.004517955,0.373226387,-0.008980721,-0.721708458,6.411000000,-0.000680483,-0.028849367
1707309211.258252,-0.000528169,0.042468852,0.000198186,0.072937688,-0.000297411,-0.480690842,0.001546833,-1.020043563,-0.003675794,0.842161534,-0.007645767,1.334954107,6.412000000,-0.000709433,-0.028950562
1707309211.261600,-0.000484388,0.043780882,0.000264868,0.066681919,-0.000784852,-0.487441039,-0.001196731,-2.743563886,-0.002726737,0.949057051,-0.004458025,3.187742123,6.413000000,-0.000737608,-0.028174777
1707309211.261646,-0.000447462,0.036925862,0.000272079,0.007211194,-0.001102863,-0.318010902,-0.003119426,-1.922694932,-0.002106502,0.620234193,-0.001904210,2.553814623,6.414000000,-0.000763936,-0.026327285
1707309211.262284,-0.000421099,0.026363216,0.000188377,-0.083702117,-0.001154727,-0.051864588,-0.004071985,-0.952559034,-0.002051473,0.055029934,-0.000100615,1.803595830,6.415000000,-0.000787807,-0.023871415
1707309211.263475,-0.000395442,0.025656814,0.000008649,-0.179728500,-0.000921007,0.233720325,-0.003459552,0.612432546,-0.002630119,-0.578646162,0.000193251,0.293865426,6.416000000,-0.000809831,-0.022023953
1707309211.264652,-0.000367311,0.028131119,-0.000241890,-0.250539127,-0.000475084,0.445922973,-0.001272905,2.186647235,-0.003667444,-1.037325137,-0.001083853,-1.277104236,6.417000000,-0.000830196,-0.020365401
1707309211.265837,-0.000346268,0.021043143,-0.000514580,-0.272690084,0.000036588,0.511672521,0.001659840,2.932744780,-0.004782728,-1.115284045,-0.002949434,-1.865580552,6.418000000,-0.000848155,-0.017959200
1707309211.267838,-0.000328949,0.017319226,-0.000750838,-0.236257551,0.000425491,0.388902729,0.002673831,1.013991531,-0.005506113,-0.723385094,-0.002749501,0.199933455,6.419000000,-0.000864058,-0.015902953
1707309211.268633,-0.000312453,0.016495393,-0.000909037,-0.158198815,0.000568868,0.143376591,0.001593758,-1.080073738,-0.005537321,-0.031207958,-0.000329799,2.419701040,6.420000000,-0.000878186,-0.014127481
